排名,證券代號,證券名稱,外資買賣超股數
1,2887,台新新光金,85214384
2,2610,華航,41602961
3,2891,中信金,40901104
4,2618,長榮航,37749153
5,2344,華邦電,33574350
6,3576,聯合再生,30962798
7,2890,永豐金,30857736
8,2834,臺企銀,29746210
9,2892,第一金,28858853
10,2002,中鋼,28337937
11,1605,華新,27618250
12,2408,南亞科,25213293
13,2884,玉山金,23618082
14,2801,彰銀,23524511
15,1303,南亞,20882058
16,8112,至上,17466431
17,2406,國碩,16057013
18,2303,聯電,15230108
19,2880,華南金,15171633
20,6443,元晶,13937107
21,2845,遠東銀,13015489
22,2882,國泰金,10927741
23,2867,三商壽,10280930
24,5880,合庫金,9098345
25,2609,陽明,9076270
26,8039,台虹,7535049
27,8105,凌巨,7187206
28,2355,敬鵬,6868332
29,6153,嘉聯益,6823395
30,1314,中石化,6787469
