排名,證券代號,證券名稱,外資買賣超股數
1,2303,聯電,65873616
2,1102,亞泥,42426722
3,2881,富邦金,29531083
4,2882,國泰金,27510116
5,2363,矽統,19230246
6,2406,國碩,16837853
7,8150,南茂,13827303
8,2883,凱基金,13573409
9,2884,玉山金,13398722
10,2327,國巨*,13307232
11,1303,南亞,10396725
12,3036,文曄,7615471
13,9904,寶成,7501524
14,8033,雷虎,7489261
15,2330,台積電,7399623
16,6257,矽格,7183911
17,2464,盟立,7018082
18,3005,神基,6371097
19,3706,神達,5275495
20,2449,京元電子,5212592
21,2353,宏碁,4500211
22,2515,中工,4061479
23,2338,光罩,3971255
24,2375,凱美,3884000
25,3605,宏致,3695352
26,2301,光寶科,3672738
27,1314,中石化,3459780
28,4938,和碩,3285119
29,4526,東台,3178022
30,1301,台塑,3110457
