排名,證券代號,證券名稱,外資買賣超股數
1,2892,第一金,-136973747
2,2303,聯電,-55125407
3,2409,友達,-16816766
4,2884,玉山金,-14233220
5,9904,寶成,-13669333
6,2317,鴻海,-12759767
7,1802,台玻,-11887447
8,2330,台積電,-11031465
9,1101,台泥,-10945982
10,2355,敬鵬,-10605669
11,2890,永豐金,-9888391
12,2324,仁寶,-9078718
13,3576,聯合再生,-8788290
14,5880,合庫金,-8728860
15,2881,富邦金,-8337768
16,6443,元晶,-8177333
17,2327,國巨*,-8095612
18,2449,京元電子,-7931162
19,2610,華航,-7927687
20,2002,中鋼,-7529976
21,2356,英業達,-7485175
22,2618,長榮航,-7412811
23,3231,緯創,-6837336
24,8112,至上,-6696000
25,2371,大同,-6529771
26,1303,南亞,-6478050
27,2353,宏碁,-6165000
28,2412,中華電,-6067925
29,2812,台中銀,-5489896
30,2886,兆豐金,-5214463
