排名,證券代號,證券名稱,外資買賣超股數
1,3481,群創,-51201712
2,2344,華邦電,-43331455
3,2303,聯電,-23200666
4,6770,力積電,-16911014
5,2892,第一金,-12690979
6,2834,臺企銀,-10896660
7,2880,華南金,-10745773
8,1714,和桐,-9750633
9,2337,旺宏,-9459855
10,2327,國巨*,-9347045
11,2886,兆豐金,-9246612
12,3036,文曄,-8652782
13,6116,彩晶,-7842105
14,6005,群益證,-7746913
15,2313,華通,-7422076
16,1303,南亞,-7333983
17,6505,台塑化,-6535221
18,2382,廣達,-6303273
19,4958,臻鼎-KY,-5465780
20,2317,鴻海,-5328129
21,1314,中石化,-4730398
22,6239,力成,-3782560
23,2883,凱基金,-3621640
24,2449,京元電子,-3166540
25,8150,南茂,-3111977
26,3711,日月光投控,-3053732
27,1802,台玻,-2942485
28,8926,台汽電,-2849012
29,2324,仁寶,-2764993
30,4915,致伸,-2555600
