排名,證券代號,證券名稱,外資買賣超股數
1,2409,友達,-80412020
2,2883,凱基金,-80408044
3,2344,華邦電,-48094655
4,2324,仁寶,-39353005
5,2002,中鋼,-18018679
6,2881,富邦金,-17484761
7,1402,遠東新,-16105558
8,2353,宏碁,-15646446
9,2408,南亞科,-15642480
10,3231,緯創,-15504777
11,4938,和碩,-15256554
12,2330,台積電,-15008392
13,2105,正新,-13387478
14,2327,國巨*,-12595318
15,2382,廣達,-12262900
16,2356,英業達,-11117287
17,2317,鴻海,-10735021
18,1301,台塑,-10640905
19,1314,中石化,-10194422
20,2347,聯強,-9407055
21,2312,金寶,-9301138
22,2855,統一證,-8439614
23,1326,台化,-7414567
24,1101,台泥,-7118975
25,1802,台玻,-6799738
26,1303,南亞,-6548607
27,3706,神達,-6458338
28,1102,亞泥,-5835980
29,3711,日月光投控,-5557084
30,3042,晶技,-5405237
