排名,證券代號,證券名稱,外資買賣超股數
1,2303,聯電,71870498
2,6770,力積電,59832974
3,2881,富邦金,58964476
4,2344,華邦電,46872727
5,1303,南亞,34097662
6,2312,金寶,30455390
7,2337,旺宏,29338438
8,2449,京元電子,24629053
9,2882,國泰金,23552099
10,6282,康舒,19147105
11,2884,玉山金,13997654
12,2885,元大金,11320982
13,2369,菱生,9791750
14,2317,鴻海,9279594
15,3037,欣興,8680405
16,3715,定穎投控,8387350
17,2481,強茂,8279429
18,2408,南亞科,7330462
19,2489,瑞軒,6672293
20,8110,華東,6120275
21,3033,威健,5769500
22,4927,泰鼎-KY,5674408
23,3673,TPK-KY,5322203
24,2887,台新新光金,5281027
25,6285,啟碁,4957638
26,8046,南電,4947217
27,3189,景碩,4397554
28,2464,盟立,4318972
29,6005,群益證,4181000
30,1717,長興,4048601
