排名,證券代號,證券名稱,外資買賣超股數
1,2344,華邦電,92597119
2,2409,友達,85222973
3,2408,南亞科,34279509
4,2834,臺企銀,26847992
5,2892,第一金,16065437
6,2886,兆豐金,13421779
7,5876,上海商銀,11795638
8,2610,華航,8979364
9,2890,永豐金,8553467
10,2027,大成鋼,8156179
11,5880,合庫金,8125490
12,2337,旺宏,7861552
13,1216,統一,6184731
14,2002,中鋼,5946999
15,1605,華新,5933177
16,2412,中華電,5816785
17,6116,彩晶,5588605
18,2330,台積電,5496736
19,2880,華南金,5178985
20,2889,國票金,5003402
21,2884,玉山金,4935106
22,2885,元大金,4780563
23,1301,台塑,4554565
24,5871,中租-KY,4277491
25,2812,台中銀,4218945
26,2618,長榮航,4138414
27,3167,大量,4047198
28,2887,台新新光金,3169551
29,3045,台灣大,2986160
30,1314,中石化,2900832
