排名,證券代號,證券名稱,外資買賣超股數
1,2324,仁寶,69366284
2,2303,聯電,26550699
3,2317,鴻海,26407791
4,3231,緯創,23925305
5,2327,國巨*,18525832
6,2892,第一金,14323628
7,2353,宏碁,14303460
8,2356,英業達,13444182
9,2886,兆豐金,13042537
10,2382,廣達,12836784
11,2426,鼎元,11198762
12,2377,微星,10951518
13,2492,華新科,10242177
14,2883,凱基金,10007300
15,3714,富采,9578120
16,4938,和碩,9303010
17,2884,玉山金,8186726
18,2885,元大金,7943464
19,5880,合庫金,7784848
20,2889,國票金,6722433
21,2344,華邦電,5354719
22,2312,金寶,5308954
23,2891,中信金,5083286
24,3090,日電貿,4896896
25,2301,光寶科,4774853
26,2388,威盛,4346625
27,6271,同欣電,4342944
28,2880,華南金,3976996
29,2313,華通,3876584
30,2352,佳世達,3795117
