排名,證券代號,證券名稱,外資買賣超股數
1,2409,友達,53222717
2,6770,力積電,32652611
3,2834,臺企銀,26930791
4,1314,中石化,25034061
5,2609,陽明,21855407
6,2371,大同,13811002
7,2883,凱基金,12687715
8,1101,台泥,11739053
9,1718,中纖,11689299
10,2412,中華電,10044192
11,1301,台塑,9109152
12,2303,聯電,8951822
13,2317,鴻海,8880253
14,3231,緯創,8826396
15,6257,矽格,8544484
16,6505,台塑化,8158606
17,2885,元大金,7850133
18,1326,台化,7698517
19,5880,合庫金,7180538
20,2353,宏碁,7032082
21,2605,新興,6569328
22,1312,國喬,6040680
23,2610,華航,5877570
24,2515,中工,5824344
25,2489,瑞軒,5734962
26,1409,新纖,5640949
27,1402,遠東新,5452551
28,2880,華南金,5363261
29,2615,萬海,4971217
30,3702,大聯大,4960366
