排名,證券代號,證券名稱,外資買賣超股數
1,3481,群創,80703305
2,1802,台玻,35838589
3,2887,台新新光金,35320704
4,2408,南亞科,27016483
5,2882,國泰金,26002979
6,2883,凱基金,25119881
7,3231,緯創,24686613
8,2884,玉山金,22276186
9,2890,永豐金,21154028
10,6282,康舒,20670773
11,2303,聯電,20426659
12,2609,陽明,20142573
13,9105,泰金寶-DR,16867220
14,1402,遠東新,14700374
15,2337,旺宏,14372572
16,1303,南亞,13945743
17,6213,聯茂,11994537
18,3706,神達,11755114
19,2867,三商壽,10795017
20,2886,兆豐金,10597027
21,2353,宏碁,8567620
22,6456,GIS-KY,8562683
23,2406,國碩,8412207
24,1326,台化,8000983
25,2881,富邦金,7218249
26,1101,台泥,6802491
27,2605,新興,6390493
28,6443,元晶,6111451
29,8046,南電,5749529
30,8422,可寧衛*,5701089
