排名,證券代號,證券名稱,外資買賣超股數
1,3481,群創,-57891954
2,2409,友達,-22901765
3,3711,日月光投控,-18337641
4,1301,台塑,-17406251
5,6770,力積電,-15106515
6,1802,台玻,-15032607
7,2337,旺宏,-14987621
8,2610,華航,-13961464
9,2330,台積電,-12536525
10,2344,華邦電,-10316342
11,3706,神達,-10240740
12,3045,台灣大,-10184690
13,2412,中華電,-10092419
14,2449,京元電子,-10040598
15,9945,潤泰新,-7570659
16,2408,南亞科,-7402758
17,3231,緯創,-6263754
18,1305,華夏,-6223500
19,2484,希華,-4965903
20,2618,長榮航,-4905554
21,8150,南茂,-4905495
22,4904,遠傳,-4815450
23,1444,力麗,-4796500
24,2375,凱美,-4661984
25,3006,晶豪科,-4601487
26,1434,福懋,-4554620
27,6271,同欣電,-4357772
28,2347,聯強,-4288543
29,2352,佳世達,-4254637
30,4960,誠美材,-4200000
