排名,證券代號,證券名稱,外資買賣超股數
1,2409,友達,55437100
2,2845,遠東銀,29742652
3,2886,兆豐金,23261199
4,2303,聯電,22021498
5,2889,國票金,20412255
6,3481,群創,19021801
7,5880,合庫金,17430887
8,2885,元大金,17375409
9,2481,強茂,16999031
10,2892,第一金,12524298
11,2610,華航,10292524
12,2609,陽明,9500135
13,2618,長榮航,9151935
14,2002,中鋼,9049125
15,2884,玉山金,8980461
16,3045,台灣大,8687824
17,2897,王道銀行,8049409
18,1301,台塑,7770197
19,2880,華南金,7509088
20,2812,台中銀,7409309
21,2890,永豐金,5955641
22,1326,台化,5283031
23,2883,凱基金,5273176
24,2412,中華電,5233493
25,2354,鴻準,4999623
26,2801,彰銀,4743176
27,9105,泰金寶-DR,4329700
28,2891,中信金,4234700
29,5608,四維航,4213475
30,2382,廣達,3774802
