排名,證券代號,證券名稱,外資買賣超股數
1,2409,友達,235893466
2,3481,群創,33144705
3,2883,凱基金,24488572
4,1314,中石化,15575211
5,6116,彩晶,15096160
6,8150,南茂,14263698
7,2371,大同,8130762
8,2881,富邦金,7344803
9,2855,統一證,7302558
10,2882,國泰金,6268529
11,2891,中信金,5840484
12,6213,聯茂,5292275
13,3711,日月光投控,5123021
14,2884,玉山金,5086118
15,2892,第一金,4848844
16,1802,台玻,4389882
17,2609,陽明,4207738
18,6505,台塑化,4037600
19,2363,矽統,3954180
20,2890,永豐金,3790257
21,2399,映泰,3782389
22,1709,和益,3512168
23,2353,宏碁,3290238
24,6456,GIS-KY,3157339
25,2454,聯發科,3156867
26,6168,宏齊,3108000
27,1605,華新,3076871
28,6257,矽格,3063495
29,2352,佳世達,2916780
30,2886,兆豐金,2871980
