排名,證券代號,證券名稱,外資買賣超股數
1,6770,力積電,-43857303
2,1301,台塑,-21084470
3,1326,台化,-18678057
4,3481,群創,-18087438
5,2408,南亞科,-13346143
6,2880,華南金,-10481843
7,2330,台積電,-9636606
8,6505,台塑化,-7418700
9,1718,中纖,-6951429
10,2332,友訊,-6848388
11,6213,聯茂,-6201997
12,3702,大聯大,-5787284
13,1312,國喬,-5777732
14,2313,華通,-5677146
15,2317,鴻海,-5514932
16,2337,旺宏,-5367515
17,2449,京元電子,-5151039
18,1314,中石化,-4487246
19,1802,台玻,-4388123
20,8150,南茂,-4296639
21,2515,中工,-4285469
22,2542,興富發,-3884680
23,6239,力成,-3736396
24,9105,泰金寶-DR,-3706000
25,3450,聯鈞,-3421124
26,1605,華新,-3387890
27,2352,佳世達,-3139099
28,1810,和成,-3103896
29,8033,雷虎,-2974675
30,2451,創見,-2950072
