排名,證券代號,證券名稱,外資買賣超股數
1,2409,友達,-153888176
2,3481,群創,-47830253
3,6116,彩晶,-16225115
4,4958,臻鼎-KY,-14428875
5,2303,聯電,-10353990
6,2324,仁寶,-9770369
7,2834,臺企銀,-9087656
8,1303,南亞,-8547891
9,4919,新唐,-5755924
10,2891,中信金,-5502465
11,5871,中租-KY,-5378188
12,2492,華新科,-5210847
13,2327,國巨*,-5206226
14,1802,台玻,-5151565
15,2884,玉山金,-5007225
16,2885,元大金,-4960944
17,2002,中鋼,-4744889
18,4763,材料*-KY,-4596144
19,2498,宏達電,-4149770
20,3231,緯創,-4021314
21,2812,台中銀,-3990808
22,2449,京元電子,-3966715
23,2890,永豐金,-3896912
24,2356,英業達,-3854687
25,6168,宏齊,-3355580
26,8110,華東,-3173270
27,5880,合庫金,-3106001
28,1605,華新,-3014526
29,9105,泰金寶-DR,-2885102
30,2801,彰銀,-2794260
