排名,證券代號,證券名稱,外資買賣超股數
1,2303,聯電,-8342000
2,2409,友達,-6347203
3,3481,群創,-5330089
4,2330,台積電,-5003302
5,2405,輔信,-4580000
6,3702,大聯大,-3569115
7,2885,元大金,-3427000
8,3037,欣興,-3327000
9,6176,瑞儀,-3191000
10,6153,嘉聯益,-2522000
11,6116,彩晶,-2489000
12,2823,中壽,-2191000
13,2884,玉山金,-2174149
14,2834,臺企銀,-2132000
15,2317,鴻海,-1914792
16,2882,國泰金,-1882000
17,3673,TPK-KY,-1798000
18,2201,裕隆,-1597000
19,2352,佳世達,-1467000
20,2311,日月光,-1455960
21,3231,緯創,-1396345
22,2002,中鋼,-1238140
23,3698,隆達,-1230000
24,2308,台達電,-1207259
25,5264,鎧勝-KY,-1173000
26,1262,綠悅-KY,-1086000
27,2383,台光電,-1039947
28,3045,台灣大,-1002000
29,2481,強茂,-998000
30,2367,燿華,-943097
