排名,證券代號,證券名稱,外資買賣超股數
1,6770,力積電,57184307
2,2408,南亞科,42740922
3,2027,大成鋼,39932119
4,2886,兆豐金,28691202
5,4938,和碩,24643888
6,1605,華新,18332785
7,2324,仁寶,12612709
8,2634,漢翔,12572000
9,2344,華邦電,12451822
10,2887,台新新光金,12336017
11,2883,凱基金,12142179
12,8150,南茂,11741160
13,2301,光寶科,11527644
14,2892,第一金,10864088
15,1504,東元,10657337
16,3231,緯創,10325788
17,1513,中興電,9070176
18,2880,華南金,8399683
19,2377,微星,8275514
20,2353,宏碁,7059575
21,3576,聯合再生,7048618
22,2356,英業達,6938951
23,2376,技嘉,6831787
24,2542,興富發,6156704
25,1216,統一,6000711
26,6282,康舒,5918288
27,8112,至上,5837522
28,2332,友訊,5459395
29,2867,三商壽,5104000
30,2327,國巨*,4761911
