排名,證券代號,證券名稱,外資買賣超股數
1,8112,至上,-11243042
2,2344,華邦電,-10620356
3,2634,漢翔,-10323869
4,1314,中石化,-9711900
5,2409,友達,-7943636
6,1312,國喬,-6806953
7,2891,中信金,-6243665
8,1301,台塑,-5066133
9,2515,中工,-4485440
10,2104,國際中橡,-3846861
11,1605,華新,-3532144
12,2382,廣達,-3270469
13,1710,東聯,-3225084
14,1304,台聚,-3145000
15,1326,台化,-3037008
16,2337,旺宏,-3017497
17,2301,光寶科,-2706898
18,2330,台積電,-2661754
19,2886,兆豐金,-2489138
20,6139,亞翔,-2479347
21,1313,聯成,-2345900
22,2406,國碩,-2340942
23,8039,台虹,-2248227
24,2542,興富發,-2213210
25,2323,中環,-2154453
26,2324,仁寶,-2106822
27,6120,達運,-2086000
28,1305,華夏,-1959970
29,3033,威健,-1815000
30,8422,可寧衛*,-1800950
