排名,證券代號,證券名稱,外資買賣超股數
1,6770,力積電,-24016466
2,2344,華邦電,-23211982
3,2002,中鋼,-19712424
4,2324,仁寶,-9828289
5,2489,瑞軒,-8966505
6,2313,華通,-8496526
7,2887,台新新光金,-8106917
8,4919,新唐,-6481750
9,1101,台泥,-5824469
10,2303,聯電,-5725538
11,2317,鴻海,-5703695
12,2481,強茂,-4765038
13,2615,萬海,-4708910
14,5871,中租-KY,-4238617
15,2408,南亞科,-4122631
16,2542,興富發,-4065905
17,2801,彰銀,-3993957
18,8028,昇陽半導體,-3620962
19,3006,晶豪科,-3468233
20,3714,富采,-3280603
21,2337,旺宏,-3069476
22,3605,宏致,-2966949
23,8110,華東,-2917274
24,2897,王道銀行,-2752000
25,8422,可寧衛*,-2538000
26,2354,鴻準,-2359140
27,3026,禾伸堂,-2058046
28,4958,臻鼎-KY,-2053179
29,4960,誠美材,-2010270
30,8046,南電,-1989561
