排名,證券代號,證券名稱,外資買賣超股數
1,2610,華航,-78294809
2,1303,南亞,-22708891
3,2892,第一金,-17899558
4,5880,合庫金,-13969755
5,2834,臺企銀,-13574000
6,2886,兆豐金,-10581580
7,2880,華南金,-10479081
8,2884,玉山金,-9388677
9,2646,星宇航空,-6592000
10,2812,台中銀,-6399897
11,6005,群益證,-5970626
12,4958,臻鼎-KY,-5965976
13,2313,華通,-5185909
14,6505,台塑化,-5130406
15,8926,台汽電,-4716413
16,2426,鼎元,-4398000
17,1714,和桐,-4242291
18,1314,中石化,-4030963
19,2449,京元電子,-3881552
20,6770,力積電,-3731597
21,6901,鑽石投資,-3535000
22,2801,彰銀,-3302214
23,2633,台灣高鐵,-3242000
24,2324,仁寶,-3237284
25,2634,漢翔,-3055651
26,2492,華新科,-2863097
27,2368,金像電,-2693388
28,2425,承啟,-2609940
29,2412,中華電,-2511971
30,1326,台化,-2374760
