排名,證券代號,證券名稱,外資買賣超股數
1,2883,凱基金,-81419997
2,1402,遠東新,-22464372
3,2002,中鋼,-15978664
4,2327,國巨*,-14665970
5,2881,富邦金,-14398452
6,2382,廣達,-12873249
7,2105,正新,-12828643
8,2610,華航,-12633379
9,2409,友達,-12173234
10,1301,台塑,-10359644
11,2347,聯強,-9067740
12,2317,鴻海,-8583639
13,2834,臺企銀,-8544061
14,4938,和碩,-8279762
15,6443,元晶,-8005896
16,2855,統一證,-6937224
17,9904,寶成,-6325100
18,5521,工信,-6100000
19,2812,台中銀,-5501340
20,4919,新唐,-5402125
21,1605,華新,-5054501
22,2324,仁寶,-5044535
23,2330,台積電,-4904284
24,2886,兆豐金,-4893557
25,2367,燿華,-4570440
26,1102,亞泥,-4557250
27,2880,華南金,-4529336
28,2371,大同,-4509764
29,1326,台化,-3903044
30,8112,至上,-3808321
