排名,證券代號,證券名稱,外資買賣超股數
1,2812,台中銀,28713904
2,5880,合庫金,27227339
3,2886,兆豐金,17737382
4,2344,華邦電,14893514
5,2845,遠東銀,13895423
6,2892,第一金,13316764
7,2880,華南金,12577408
8,2464,盟立,11634240
9,2889,國票金,11091589
10,2409,友達,10295835
11,2801,彰銀,8427915
12,5876,上海商銀,7922106
13,2834,臺企銀,7727385
14,3231,緯創,7065906
15,2884,玉山金,6874943
16,3019,亞光,6752193
17,2412,中華電,5224718
18,3481,群創,4639625
19,2887,台新新光金,4506020
20,1216,統一,4440256
21,4976,佳凌,3992121
22,3045,台灣大,3538775
23,2356,英業達,3078806
24,2301,光寶科,3072958
25,4904,遠傳,3066889
26,2897,王道銀行,3044058
27,2515,中工,2751269
28,2455,全新,2744485
29,2610,華航,2744095
30,2377,微星,2475018
