排名,證券代號,證券名稱,外資買賣超股數
1,2409,友達,-79998614
2,6770,力積電,-42587441
3,2303,聯電,-35153207
4,2317,鴻海,-23872588
5,2408,南亞科,-19952717
6,1709,和益,-19295908
7,2344,華邦電,-17824356
8,2610,華航,-14209150
9,1101,台泥,-12698600
10,2618,長榮航,-11904982
11,1314,中石化,-11481917
12,2337,旺宏,-9082640
13,2812,台中銀,-9018717
14,6116,彩晶,-7763602
15,2324,仁寶,-6316129
16,2342,茂矽,-6140842
17,4958,臻鼎-KY,-5333479
18,2834,臺企銀,-5091889
19,2891,中信金,-4929287
20,2889,國票金,-4869983
21,2330,台積電,-4667832
22,2356,英業達,-4407950
23,6005,群益證,-4357856
24,2002,中鋼,-4156707
25,2887,台新新光金,-3763596
26,6257,矽格,-3686044
27,2382,廣達,-3653591
28,2882,國泰金,-3351138
29,3019,亞光,-3134015
30,2104,國際中橡,-3083980
