排名,證券代號,證券名稱,外資買賣超股數
1,6770,力積電,54266490
2,2618,長榮航,24136667
3,2883,凱基金,23355193
4,2610,華航,21951009
5,2313,華通,18822218
6,2892,第一金,18332769
7,1402,遠東新,17116229
8,2344,華邦電,14945884
9,2353,宏碁,13345335
10,6505,台塑化,12342630
11,2337,旺宏,11787077
12,1101,台泥,11474610
13,2603,長榮,11430502
14,2609,陽明,11205091
15,2027,大成鋼,10485830
16,5880,合庫金,9992532
17,2002,中鋼,9274760
18,2890,永豐金,9067723
19,8150,南茂,8890637
20,2881,富邦金,8761527
21,2634,漢翔,8374031
22,3576,聯合再生,8149928
23,2845,遠東銀,7887215
24,1301,台塑,7161232
25,3033,威健,7068279
26,2317,鴻海,6880436
27,1605,華新,6808519
28,1504,東元,6738812
29,3006,晶豪科,6022932
30,2884,玉山金,5675447
