排名,證券代號,證券名稱,外資買賣超股數
1,2409,友達,177670132
2,6116,彩晶,23080431
3,2887,台新新光金,19106129
4,3016,嘉晶,13958782
5,2303,聯電,10372333
6,2834,臺企銀,9844813
7,2883,凱基金,8248799
8,4938,和碩,7918954
9,2105,正新,6734350
10,2885,元大金,6352373
11,1301,台塑,5987870
12,1314,中石化,5738111
13,2890,永豐金,5684181
14,2609,陽明,5430306
15,2353,宏碁,5367028
16,3706,神達,5236159
17,1802,台玻,4902715
18,2002,中鋼,4666978
19,2891,中信金,4591511
20,4763,材料*-KY,4156433
21,2851,中再保,3988000
22,1717,長興,3813727
23,5880,合庫金,3788673
24,2371,大同,3535434
25,1718,中纖,3430000
26,2801,彰銀,3421970
27,6239,力成,3273598
28,2327,國巨*,3152275
29,9907,統一實,2926020
30,2352,佳世達,2423308
