排名,證券代號,證券名稱,外資買賣超股數
1,6770,力積電,113974233
2,2324,仁寶,51024490
3,1605,華新,44292104
4,2317,鴻海,29370661
5,2356,英業達,25668472
6,2002,中鋼,18378280
7,1717,長興,16328784
8,1402,遠東新,15079303
9,2892,第一金,13521627
10,2337,旺宏,11058528
11,2353,宏碁,10521216
12,3706,神達,9467114
13,1608,華榮,9108219
14,2887,台新新光金,9082949
15,2890,永豐金,8869859
16,3231,緯創,8824935
17,4938,和碩,8259658
18,2377,微星,7854332
19,1326,台化,7275630
20,1718,中纖,7148469
21,2303,聯電,5676679
22,2354,鴻準,5606208
23,2449,京元電子,5585403
24,9105,泰金寶-DR,5563000
25,2464,盟立,5419065
26,1301,台塑,5402759
27,1216,統一,5055324
28,9933,中鼎,4840509
29,2891,中信金,4780007
30,2371,大同,4569806
