排名,證券代號,證券名稱,外資買賣超股數
1,2303,聯電,-63878408
2,3231,緯創,-46059330
3,3481,群創,-42072853
4,2324,仁寶,-28275282
5,2356,英業達,-18177771
6,2353,宏碁,-14607859
7,2382,廣達,-13586379
8,2317,鴻海,-13289577
9,2481,強茂,-8247649
10,6770,力積電,-7823991
11,9105,泰金寶-DR,-6861000
12,8039,台虹,-6719964
13,4938,和碩,-6626178
14,1326,台化,-6522487
15,2634,漢翔,-6030776
16,2436,偉詮電,-5116593
17,3706,神達,-5041718
18,2449,京元電子,-4911644
19,2354,鴻準,-4192258
20,2426,鼎元,-4044239
21,2312,金寶,-3863755
22,6239,力成,-3573679
23,6257,矽格,-3564867
24,1802,台玻,-3080163
25,2301,光寶科,-2934651
26,8028,昇陽半導體,-2895225
27,2377,微星,-2810788
28,2376,技嘉,-2745569
29,2464,盟立,-2711220
30,8150,南茂,-2576144
