排名,證券代號,證券名稱,外資買賣超股數
1,2634,漢翔,-28437679
2,3231,緯創,-9592644
3,3481,群創,-6805723
4,2313,華通,-5334062
5,2324,仁寶,-4896393
6,2486,一詮,-4678386
7,2834,臺企銀,-4314929
8,2481,強茂,-3872831
9,6278,台表科,-3780232
10,2317,鴻海,-3528905
11,2492,華新科,-3509250
12,2409,友達,-3474046
13,6116,彩晶,-3331121
14,4958,臻鼎-KY,-2956941
15,1708,東鹼,-2408793
16,2478,大毅,-2217385
17,1504,東元,-2203860
18,2359,所羅門,-2015963
19,3673,TPK-KY,-1926040
20,4938,和碩,-1911689
21,3090,日電貿,-1864827
22,3049,精金,-1831992
23,1409,新纖,-1817025
24,3189,景碩,-1792653
25,2353,宏碁,-1775000
26,2049,上銀,-1687795
27,2332,友訊,-1643100
28,8150,南茂,-1403886
29,2428,興勤,-1284648
30,8070,長華*,-1275806
