排名,證券代號,證券名稱,外資買賣超股數
1,3481,群創,-202889796
2,2409,友達,-166129539
3,6116,彩晶,-34299664
4,2880,華南金,-31853207
5,2356,英業達,-31655076
6,2002,中鋼,-25412012
7,2618,長榮航,-24050280
8,2610,華航,-17686116
9,2382,廣達,-16003301
10,1101,台泥,-15528696
11,2324,仁寶,-15249264
12,2367,燿華,-14539296
13,2313,華通,-13228850
14,2886,兆豐金,-13078568
15,1402,遠東新,-12768513
16,2892,第一金,-12748614
17,2353,宏碁,-11880496
18,3045,台灣大,-11129340
19,1102,亞泥,-10694384
20,2801,彰銀,-10303227
21,1216,統一,-9592611
22,2633,台灣高鐵,-9529687
23,2603,長榮,-9238448
24,2412,中華電,-9162006
25,2402,毅嘉,-8063575
26,2330,台積電,-7748559
27,6443,元晶,-7566950
28,2027,大成鋼,-7447878
29,1301,台塑,-6955448
30,2912,統一超,-6633036
