排名,證券代號,證券名稱,外資買賣超股數
1,3481,群創,-208585325
2,2883,凱基金,-62749013
3,2887,台新新光金,-51522127
4,2880,華南金,-47652591
5,1802,台玻,-47089851
6,2618,長榮航,-38331924
7,2002,中鋼,-27915973
8,2382,廣達,-14582246
9,2356,英業達,-13233580
10,2313,華通,-11984655
11,2105,正新,-11345429
12,1504,東元,-11279011
13,2801,彰銀,-11072584
14,6282,康舒,-10759145
15,1216,統一,-10590464
16,9105,泰金寶-DR,-10001479
17,1717,長興,-9496540
18,4938,和碩,-9197219
19,2347,聯強,-8691610
20,2855,統一證,-8663714
21,2542,興富發,-7908696
22,2603,長榮,-7856376
23,2891,中信金,-7509768
24,6213,聯茂,-7246250
25,2886,兆豐金,-6836341
26,1210,大成,-5476740
27,2208,台船,-5427000
28,2331,精英,-5074257
29,2912,統一超,-4933544
30,2328,廣宇,-4903040
