排名,證券代號,證券名稱,外資買賣超股數
1,3481,群創,-62999176
2,1303,南亞,-23551563
3,2409,友達,-23202407
4,2887,台新新光金,-21391157
5,6770,力積電,-20195909
6,8150,南茂,-15725068
7,2303,聯電,-11396333
8,2542,興富發,-7894417
9,1301,台塑,-7796181
10,2890,永豐金,-7225992
11,2880,華南金,-7097622
12,2481,強茂,-6999477
13,2327,國巨*,-6733675
14,4958,臻鼎-KY,-6639838
15,2344,華邦電,-6028509
16,1216,統一,-5084057
17,2332,友訊,-4968615
18,1714,和桐,-4833714
19,1409,新纖,-3571900
20,8046,南電,-3460204
21,4989,榮科,-3272000
22,1802,台玻,-3265985
23,2886,兆豐金,-3030954
24,2408,南亞科,-2986159
25,6239,力成,-2847883
26,2369,菱生,-2753995
27,2337,旺宏,-2687656
28,8033,雷虎,-2554168
29,2486,一詮,-2492227
30,2892,第一金,-2391577
