排名,證券代號,證券名稱,外資買賣超股數
1,1326,台化,44300807
2,2887,台新新光金,24546320
3,1101,台泥,22642097
4,2883,凱基金,18961772
5,8150,南茂,17373469
6,2886,兆豐金,16176946
7,1301,台塑,15600036
8,2892,第一金,15290644
9,2812,台中銀,15177248
10,2317,鴻海,13474127
11,1717,長興,10852469
12,2327,國巨*,10023598
13,3706,神達,9739482
14,2880,華南金,9349137
15,2890,永豐金,8809751
16,2885,元大金,8266158
17,2354,鴻準,7957800
18,2897,王道銀行,7468000
19,4958,臻鼎-KY,7339847
20,3711,日月光投控,7292149
21,5876,上海商銀,7229446
22,3189,景碩,7170006
23,2330,台積電,5730863
24,1709,和益,5601297
25,4763,材料*-KY,5490043
26,3042,晶技,5188913
27,2449,京元電子,5110920
28,6505,台塑化,5036329
29,2603,長榮,5002115
30,1504,東元,4537872
