排名,證券代號,證券名稱,外資買賣超股數
1,2883,凱基金,-92624564
2,6770,力積電,-73783942
3,2887,台新新光金,-27334710
4,2881,富邦金,-21478473
5,1402,遠東新,-17149581
6,1301,台塑,-16032830
7,2317,鴻海,-15652044
8,2330,台積電,-15542862
9,2449,京元電子,-12901786
10,2105,正新,-11833885
11,2324,仁寶,-11713197
12,2855,統一證,-9729945
13,3706,神達,-9632263
14,2382,廣達,-9201330
15,3231,緯創,-9128654
16,4938,和碩,-7607948
17,2885,元大金,-7108806
18,1326,台化,-7074986
19,2347,聯強,-7027143
20,2308,台達電,-6909356
21,8105,凌巨,-6690058
22,2327,國巨*,-6205974
23,1504,東元,-5839313
24,2312,金寶,-5532028
25,3711,日月光投控,-5242835
26,2882,國泰金,-5083064
27,3376,新日興,-4887707
28,8422,可寧衛*,-4860938
29,2603,長榮,-4625350
30,2886,兆豐金,-4610775
