排名,證券代號,證券名稱,外資買賣超股數
1,2449,京元電子,-16651526
2,2327,國巨*,-13468029
3,2303,聯電,-12716120
4,3481,群創,-12026228
5,3711,日月光投控,-8938916
6,3049,精金,-8536982
7,6919,康霈*,-7650465
8,6239,力成,-6544963
9,3189,景碩,-5615906
10,2615,萬海,-5468333
11,6257,矽格,-5373298
12,2481,強茂,-5151500
13,1101,台泥,-5028783
14,2002,中鋼,-4683210
15,3231,緯創,-4651544
16,2330,台積電,-4554240
17,2301,光寶科,-4476948
18,8150,南茂,-4039922
19,2317,鴻海,-3855072
20,2332,友訊,-3756746
21,1709,和益,-3728778
22,3715,定穎投控,-3516036
23,2634,漢翔,-3430019
24,3645,達邁,-3202000
25,2027,大成鋼,-3053020
26,8039,台虹,-2995837
27,3209,全科,-2312200
28,2610,華航,-2300943
29,1802,台玻,-2264689
30,2441,超豐,-2262293
