排名,證券代號,證券名稱,外資買賣超股數
1,2344,華邦電,-30701517
2,8150,南茂,-24202639
3,2880,華南金,-15261450
4,4958,臻鼎-KY,-15022433
5,2408,南亞科,-14721317
6,2886,兆豐金,-14609611
7,2492,華新科,-14198286
8,5388,中磊,-13695721
9,1303,南亞,-12290027
10,2327,國巨*,-10377145
11,8112,至上,-7357923
12,6282,康舒,-7131645
13,6116,彩晶,-6738742
14,5880,合庫金,-5920885
15,2884,玉山金,-5878345
16,2409,友達,-5804657
17,8033,雷虎,-5107185
18,2610,華航,-4977318
19,8039,台虹,-4757115
20,2547,日勝生,-4434000
21,3090,日電貿,-4347396
22,6005,群益證,-4345484
23,2103,台橡,-4140261
24,3704,合勤控,-3867112
25,2332,友訊,-3629831
26,2481,強茂,-3556740
27,9904,寶成,-3377082
28,3702,大聯大,-3336310
29,2368,金像電,-3313250
30,2603,長榮,-3143947
