排名,證券代號,證券名稱,外資買賣超股數
1,2324,仁寶,-51963880
2,2887,台新新光金,-23784110
3,2313,華通,-17596478
4,2353,宏碁,-15924698
5,2027,大成鋼,-13276789
6,2426,鼎元,-12948884
7,2356,英業達,-11254244
8,3231,緯創,-10618915
9,2801,彰銀,-10130267
10,2301,光寶科,-9722056
11,2891,中信金,-9028350
12,1101,台泥,-8736816
13,1717,長興,-8480191
14,2884,玉山金,-8346532
15,2481,強茂,-6994150
16,4938,和碩,-6319662
17,1312,國喬,-6299701
18,2377,微星,-5731696
19,1605,華新,-4620755
20,2312,金寶,-4528136
21,2812,台中銀,-4522000
22,2618,長榮航,-3882705
23,2890,永豐金,-3805852
24,2464,盟立,-3790164
25,2883,凱基金,-3641620
26,2542,興富發,-3640620
27,3706,神達,-3550003
28,2388,威盛,-3429942
29,3090,日電貿,-3396275
30,2515,中工,-3221615
