排名,證券代號,證券名稱,外資買賣超股數
1,2344,華邦電,25984321
2,3231,緯創,13991730
3,2618,長榮航,13613595
4,2408,南亞科,12888995
5,2356,英業達,12570486
6,2891,中信金,11095659
7,2317,鴻海,10136158
8,2610,華航,10116837
9,2324,仁寶,9901837
10,2312,金寶,8621769
11,2027,大成鋼,8185739
12,2337,旺宏,7554550
13,1605,華新,6366660
14,1216,統一,6102784
15,2332,友訊,5707195
16,3711,日月光投控,5452644
17,3042,晶技,5167618
18,4904,遠傳,5037490
19,8422,可寧衛*,4737308
20,2376,技嘉,4572182
21,2006,東和鋼鐵,4442441
22,2603,長榮,4139627
23,4938,和碩,4112901
24,2867,三商壽,4023000
25,2313,華通,3962967
26,4763,材料*-KY,3939459
27,6226,光鼎,3724000
28,2327,國巨*,3675238
29,9105,泰金寶-DR,3639000
30,3706,神達,3393181
