排名,證券代號,證券名稱,外資買賣超股數
1,2883,凱基金,-108621048
2,2881,富邦金,-38526931
3,1402,遠東新,-35828227
4,2002,中鋼,-32274286
5,1101,台泥,-28957474
6,2610,華航,-28513223
7,2324,仁寶,-27265181
8,2330,台積電,-20464649
9,2855,統一證,-16572990
10,2105,正新,-16524900
11,4938,和碩,-16383688
12,2382,廣達,-16265182
13,2834,臺企銀,-14525765
14,1301,台塑,-13070702
15,1326,台化,-11603465
16,1802,台玻,-10985762
17,6005,群益證,-10669083
18,1504,東元,-10495659
19,2542,興富發,-9843012
20,2886,兆豐金,-8871560
21,1102,亞泥,-8408563
22,1717,長興,-7879230
23,2882,國泰金,-7524591
24,5871,中租-KY,-7217928
25,2412,中華電,-7159145
26,2449,京元電子,-7089088
27,2347,聯強,-6684908
28,2327,國巨*,-6603998
29,2891,中信金,-6202577
30,8112,至上,-6141506
