排名,證券代號,證券名稱,外資買賣超股數
1,6770,力積電,-68115695
2,2887,台新新光金,-34126968
3,2884,玉山金,-28402929
4,2883,凱基金,-21972440
5,2890,永豐金,-18295306
6,2337,旺宏,-16511519
7,2353,宏碁,-13548255
8,2002,中鋼,-12779303
9,2885,元大金,-12459523
10,2356,英業達,-11293749
11,9904,寶成,-10598804
12,4938,和碩,-9552523
13,2882,國泰金,-9528502
14,2317,鴻海,-9036510
15,2344,華邦電,-8586487
16,2376,技嘉,-7887588
17,2377,微星,-7647182
18,1303,南亞,-7473404
19,2834,臺企銀,-6653680
20,2332,友訊,-6231932
21,8112,至上,-5790142
22,1409,新纖,-5566635
23,4763,材料*-KY,-5159574
24,2645,長榮航太,-5034512
25,1326,台化,-5008764
26,1810,和成,-4666322
27,1301,台塑,-4661929
28,2492,華新科,-4527434
29,1718,中纖,-4320738
30,5871,中租-KY,-4127128
