排名,證券代號,證券名稱,外資買賣超股數
1,2892,第一金,30117355
2,2344,華邦電,27744706
3,2801,彰銀,27707813
4,3481,群創,14704711
5,2303,聯電,14600357
6,6116,彩晶,12224097
7,2027,大成鋼,11823258
8,9105,泰金寶-DR,11276501
9,2367,燿華,11096934
10,2609,陽明,10238437
11,2409,友達,9835470
12,2845,遠東銀,9106704
13,2356,英業達,8768070
14,6282,康舒,6988944
15,6443,元晶,6635836
16,2637,慧洋-KY,6308161
17,3045,台灣大,6137889
18,3702,大聯大,6017935
19,8070,長華*,5694586
20,2413,環科,5676840
21,2002,中鋼,5174919
22,2412,中華電,5096218
23,1314,中石化,4624365
24,2478,大毅,4185243
25,3036,文曄,4129588
26,1227,佳格,3826828
27,6239,力成,3819841
28,3059,華晶科,3804257
29,6278,台表科,3744485
30,2633,台灣高鐵,3682800
