排名,證券代號,證券名稱,外資買賣超股數
1,2801,彰銀,-37600382
2,2834,臺企銀,-30317151
3,2812,台中銀,-29219854
4,1718,中纖,-25033035
5,2892,第一金,-20160754
6,9904,寶成,-17770098
7,3711,日月光投控,-13160893
8,2330,台積電,-12429517
9,2886,兆豐金,-12338148
10,1101,台泥,-12259096
11,1303,南亞,-10078121
12,2002,中鋼,-8522335
13,2327,國巨*,-5992640
14,2880,華南金,-5928181
15,2884,玉山金,-5841793
16,2481,強茂,-5765561
17,2492,華新科,-5616389
18,2313,華通,-5327541
19,5880,合庫金,-5278184
20,3481,群創,-4964493
21,1714,和桐,-4953268
22,2889,國票金,-4914000
23,2337,旺宏,-4110588
24,4763,材料*-KY,-3769426
25,2449,京元電子,-3728450
26,2820,華票,-3655140
27,8110,華東,-3645000
28,3090,日電貿,-3407004
29,3048,益登,-3337000
30,1102,亞泥,-3217127
