排名,證券代號,證券名稱,外資買賣超股數
1,2344,華邦電,-31131358
2,2634,漢翔,-24256778
3,2610,華航,-18967484
4,9904,寶成,-17552663
5,2609,陽明,-17452883
6,6116,彩晶,-11772656
7,2002,中鋼,-11410047
8,2371,大同,-9449642
9,2354,鴻準,-8305496
10,3231,緯創,-8245861
11,2845,遠東銀,-8144849
12,2464,盟立,-7514156
13,2618,長榮航,-6400678
14,2884,玉山金,-6139266
15,2426,鼎元,-5622993
16,4906,正文,-5537802
17,1504,東元,-5213529
18,2812,台中銀,-4707757
19,6919,康霈*,-4330681
20,9945,潤泰新,-4215903
21,2887,台新新光金,-4053099
22,2412,中華電,-3945073
23,8112,至上,-3831380
24,1402,遠東新,-3824391
25,2105,正新,-3807630
26,2889,國票金,-3727000
27,2356,英業達,-3437277
28,2645,長榮航太,-3374330
29,3042,晶技,-3309656
30,2515,中工,-3250403
