排名,證券代號,證券名稱,外資買賣超股數
1,2610,華航,52215807
2,1301,台塑,39475499
3,5880,合庫金,23417883
4,2834,臺企銀,18512573
5,2801,彰銀,14683952
6,2618,長榮航,13423165
7,1101,台泥,12700000
8,2885,元大金,12080594
9,2303,聯電,11768117
10,1802,台玻,11113395
11,2887,台新新光金,10396910
12,3481,群創,10243611
13,1314,中石化,9485018
14,1718,中纖,7855150
15,2449,京元電子,7789679
16,2812,台中銀,7521240
17,2006,東和鋼鐵,6427654
18,8110,華東,6396931
19,3037,欣興,6227587
20,2105,正新,6219086
21,2883,凱基金,6187957
22,2892,第一金,6023055
23,1326,台化,5900123
24,4938,和碩,5618390
25,1717,長興,5209475
26,9907,統一實,4664075
27,6176,瑞儀,4553006
28,8046,南電,4302579
29,6213,聯茂,3956597
30,6505,台塑化,3925278
