排名,證券代號,證券名稱,外資買賣超股數
1,3481,群創,-33890584
2,2409,友達,-26910392
3,1303,南亞,-24013718
4,1102,亞泥,-13228242
5,2332,友訊,-10339553
6,4958,臻鼎-KY,-9538900
7,2303,聯電,-8696838
8,1802,台玻,-8603460
9,2327,國巨*,-7986604
10,1409,新纖,-7617225
11,2887,台新新光金,-7175267
12,6116,彩晶,-7037319
13,3702,大聯大,-6212689
14,2382,廣達,-4618473
15,1714,和桐,-4285159
16,2484,希華,-4202237
17,2330,台積電,-3427281
18,2481,強茂,-3292028
19,6213,聯茂,-3253599
20,8046,南電,-3239744
21,2885,元大金,-3129787
22,8926,台汽電,-2324642
23,2886,兆豐金,-2316878
24,3026,禾伸堂,-2295333
25,2812,台中銀,-2193370
26,1709,和益,-2108863
27,3037,欣興,-2065805
28,2406,國碩,-2053142
29,2547,日勝生,-2052980
30,2501,國建,-1955000
