排名,證券代號,證券名稱,外資買賣超股數
1,2887,台新新光金,29635403
2,2883,凱基金,25976736
3,2882,國泰金,17042015
4,2618,長榮航,14825671
5,2834,臺企銀,14608328
6,2884,玉山金,14524102
7,2892,第一金,12146074
8,6770,力積電,9979729
9,1314,中石化,9572027
10,3042,晶技,8458050
11,2890,永豐金,8333437
12,2634,漢翔,7947290
13,5880,合庫金,7456384
14,2327,國巨*,7286025
15,2812,台中銀,7227979
16,2344,華邦電,6651231
17,2885,元大金,6337881
18,2801,彰銀,5957566
19,1409,新纖,5897910
20,2353,宏碁,5876430
21,1609,大亞,5766215
22,2458,義隆,5322602
23,2484,希華,4937720
24,2889,國票金,4927768
25,2105,正新,4772319
26,1718,中纖,4688130
27,2881,富邦金,4659610
28,1710,東聯,4408834
29,8112,至上,4239986
30,1313,聯成,4183292
