排名,證券代號,證券名稱,外資買賣超股數
1,1714,和桐,-39312675
2,6770,力積電,-34975864
3,2344,華邦電,-25653888
4,1326,台化,-15398312
5,3042,晶技,-14791333
6,1718,中纖,-14066712
7,3231,緯創,-13773544
8,2634,漢翔,-12564165
9,2337,旺宏,-10957427
10,9904,寶成,-10157000
11,2317,鴻海,-8470257
12,4904,遠傳,-8389168
13,1802,台玻,-7873765
14,2356,英業達,-7336753
15,2347,聯強,-7288172
16,1312,國喬,-7077691
17,1303,南亞,-5634818
18,6213,聯茂,-5584586
19,2412,中華電,-5487011
20,2363,矽統,-5339040
21,3037,欣興,-5302982
22,2484,希華,-5188965
23,2382,廣達,-5139762
24,2332,友訊,-5017000
25,3706,神達,-4718027
26,1102,亞泥,-4681750
27,8422,可寧衛*,-4659000
28,1301,台塑,-4591238
29,5876,上海商銀,-4468815
30,3715,定穎投控,-4417046
