排名,證券代號,證券名稱,外資買賣超股數
1,2409,友達,-26060496
2,2883,凱基金,-25786495
3,6770,力積電,-22792812
4,2324,仁寶,-20369488
5,2313,華通,-15375158
6,1402,遠東新,-15352265
7,2881,富邦金,-13606187
8,3042,晶技,-11223082
9,6239,力成,-10975507
10,2353,宏碁,-9280270
11,2356,英業達,-9039449
12,2312,金寶,-8768554
13,9105,泰金寶-DR,-8612001
14,2105,正新,-8360122
15,8150,南茂,-7718142
16,3048,益登,-7568000
17,3481,群創,-6463133
18,8021,尖點,-6288368
19,3231,緯創,-5771994
20,3706,神達,-5308185
21,4938,和碩,-5001826
22,3090,日電貿,-4754028
23,8070,長華*,-4649160
24,6285,啟碁,-4214839
25,2855,統一證,-4029246
26,6155,鈞寶,-3847417
27,4919,新唐,-3764533
28,2478,大毅,-3747677
29,2382,廣達,-3162259
30,3049,精金,-3056185
