排名,證券代號,證券名稱,外資買賣超股數
1,1802,台玻,55470670
2,2002,中鋼,44581757
3,1605,華新,34774250
4,6770,力積電,27409723
5,2449,京元電子,20077034
6,1314,中石化,17463686
7,1301,台塑,16495001
8,3711,日月光投控,15662506
9,3715,定穎投控,15309945
10,2883,凱基金,15256888
11,2301,光寶科,14708038
12,2609,陽明,14644279
13,2330,台積電,14361098
14,2337,旺宏,13872314
15,6282,康舒,13329344
16,6213,聯茂,13114162
17,2887,台新新光金,13106161
18,1326,台化,10088805
19,2498,宏達電,9980176
20,2408,南亞科,9625608
21,2426,鼎元,9444754
22,8112,至上,9028780
23,2369,菱生,8750432
24,8150,南茂,8686355
25,2441,超豐,8439297
26,2489,瑞軒,8421088
27,2834,臺企銀,7766321
28,6257,矽格,7694687
29,6168,宏齊,7100436
30,3714,富采,6966819
