排名,證券代號,證券名稱,外資買賣超股數
1,2409,友達,245313959
2,2303,聯電,50545175
3,3481,群創,24829555
4,2449,京元電子,16162022
5,1101,台泥,14828392
6,2886,兆豐金,12736350
7,6168,宏齊,11576597
8,8150,南茂,9867370
9,4958,臻鼎-KY,9732801
10,3189,景碩,9136578
11,2892,第一金,9026115
12,6770,力積電,8722658
13,3711,日月光投控,8479833
14,6116,彩晶,8390202
15,2327,國巨*,7871240
16,2344,華邦電,7783688
17,2317,鴻海,6811470
18,2618,長榮航,6621438
19,3016,嘉晶,6315279
20,8046,南電,5863122
21,6257,矽格,5709173
22,2481,強茂,5343270
23,2610,華航,5252000
24,3037,欣興,5130716
25,2885,元大金,4305327
26,2354,鴻準,4091337
27,2441,超豐,4023596
28,3045,台灣大,3839922
29,1312,國喬,3753590
30,1718,中纖,3684197
