排名,證券代號,證券名稱,外資買賣超股數
1,2887,台新新光金,-13872550
2,2481,強茂,-12215249
3,6213,聯茂,-12078005
4,2344,華邦電,-10245462
5,2313,華通,-8055735
6,4958,臻鼎-KY,-6621778
7,2801,彰銀,-5460779
8,1303,南亞,-4967411
9,2890,永豐金,-4833970
10,2492,華新科,-4678098
11,3481,群創,-3825990
12,3189,景碩,-3703899
13,2368,金像電,-3669475
14,2337,旺宏,-3470365
15,3450,聯鈞,-3168969
16,2002,中鋼,-2671748
17,2426,鼎元,-2431443
18,2327,國巨*,-2052950
19,8110,華東,-1892710
20,8028,昇陽半導體,-1870975
21,2369,菱生,-1751972
22,2889,國票金,-1564885
23,4915,致伸,-1520120
24,2324,仁寶,-1455877
25,8112,至上,-1451109
26,6672,騰輝電子-KY,-1423957
27,8046,南電,-1303101
28,2542,興富發,-1302064
29,2464,盟立,-1298066
30,3006,晶豪科,-1276211
