排名,證券代號,證券名稱,外資買賣超股數
1,2883,凱基金,24668133
2,2881,富邦金,18667606
3,2409,友達,16759294
4,2892,第一金,14366895
5,2886,兆豐金,13560292
6,2882,國泰金,13018233
7,2606,裕民,12871757
8,2884,玉山金,12135931
9,1216,統一,9982188
10,3481,群創,9717844
11,2891,中信金,8699598
12,2610,華航,7503859
13,2890,永豐金,6535506
14,2880,華南金,5938364
15,2609,陽明,5684503
16,2615,萬海,5680573
17,2603,長榮,5595197
18,3045,台灣大,5421346
19,2887,台新新光金,5308399
20,8039,台虹,4538621
21,2484,希華,3854372
22,4904,遠傳,3813633
23,2489,瑞軒,3801091
24,5880,合庫金,3603509
25,6505,台塑化,3587939
26,2637,慧洋-KY,3437484
27,1326,台化,3115032
28,3037,欣興,3068442
29,1102,亞泥,2857290
30,1303,南亞,2826939
