排名,證券代號,證券名稱,外資買賣超股數
1,2337,旺宏,57327341
2,8150,南茂,18340964
3,2887,台新新光金,7635841
4,2353,宏碁,7429367
5,2885,元大金,7330720
6,2618,長榮航,7122809
7,6239,力成,7044676
8,6191,精成科,6981217
9,2801,彰銀,6698789
10,2603,長榮,6678443
11,3711,日月光投控,6482590
12,1314,中石化,5609167
13,5469,瀚宇博,4371590
14,3033,威健,4143231
15,6226,光鼎,4129820
16,1102,亞泥,3928672
17,6213,聯茂,3832732
18,2610,華航,3664355
19,3036,文曄,3611851
20,3717,聯嘉投控,3427646
21,2484,希華,3342154
22,6202,盛群,3149952
23,2542,興富發,3140534
24,8046,南電,3130115
25,3028,增你強,2914144
26,6139,亞翔,2859210
27,1409,新纖,2767971
28,2367,燿華,2754971
29,2002,中鋼,2636233
30,3189,景碩,2573040
