排名,證券代號,證券名稱,外資買賣超股數
1,6770,力積電,-26786141
2,2344,華邦電,-20610326
3,2317,鴻海,-20344952
4,2337,旺宏,-20271919
5,8150,南茂,-17488518
6,2884,玉山金,-17276062
7,1101,台泥,-14648828
8,2882,國泰金,-12158610
9,2412,中華電,-9510493
10,4904,遠傳,-8184359
11,1402,遠東新,-7501668
12,2633,台灣高鐵,-7119972
13,3231,緯創,-6967519
14,2892,第一金,-6826601
15,2845,遠東銀,-6691789
16,5876,上海商銀,-6252124
17,3481,群創,-6080377
18,2618,長榮航,-5959106
19,3189,景碩,-5431078
20,9904,寶成,-5420010
21,3045,台灣大,-5363107
22,8112,至上,-3988892
23,3576,聯合再生,-3805000
24,5469,瀚宇博,-3706740
25,2369,菱生,-3553766
26,1409,新纖,-3402794
27,2634,漢翔,-3355072
28,2313,華通,-3065433
29,2504,國產,-2984147
30,1605,華新,-2938735
