排名,證券代號,證券名稱,外資買賣超股數
1,3481,群創,56496170
2,2303,聯電,43123860
3,2812,台中銀,24494000
4,2834,臺企銀,21094712
5,2618,長榮航,19049159
6,1303,南亞,18913064
7,2002,中鋼,17467170
8,1101,台泥,17345494
9,5880,合庫金,16541083
10,1718,中纖,15561259
11,2890,永豐金,15105571
12,2412,中華電,13605984
13,2867,三商壽,13435000
14,2610,華航,11819504
15,2884,玉山金,9588093
16,2887,台新新光金,8656453
17,2332,友訊,7280109
18,3045,台灣大,6845837
19,4904,遠傳,6451559
20,2313,華通,5980385
21,1402,遠東新,5660644
22,2481,強茂,5570432
23,2883,凱基金,5285994
24,8150,南茂,4980039
25,1714,和桐,4964111
26,2801,彰銀,4912925
27,2027,大成鋼,4694620
28,2327,國巨*,4671383
29,2897,王道銀行,4571000
30,5876,上海商銀,4461396
