排名,證券代號,證券名稱,外資買賣超股數
1,2303,聯電,-89164346
2,1303,南亞,-49229560
3,2834,臺企銀,-33426420
4,6770,力積電,-32777937
5,1101,台泥,-23554419
6,2801,彰銀,-23335831
7,2892,第一金,-22190049
8,3481,群創,-17706581
9,2409,友達,-15901374
10,4958,臻鼎-KY,-10778277
11,2880,華南金,-9802919
12,2330,台積電,-9716947
13,2886,兆豐金,-8876054
14,2883,凱基金,-8512896
15,2002,中鋼,-6855253
16,5880,合庫金,-6656751
17,1326,台化,-6449462
18,2449,京元電子,-6398287
19,2882,國泰金,-5442173
20,1301,台塑,-5079620
21,2881,富邦金,-4135602
22,2451,創見,-4072661
23,6239,力成,-3935560
24,2634,漢翔,-3673196
25,2885,元大金,-3563505
26,2308,台達電,-3341798
27,3036,文曄,-3181822
28,2889,國票金,-2984000
29,1314,中石化,-2974204
30,2884,玉山金,-2655546
