排名,證券代號,證券名稱,外資買賣超股數
1,2609,陽明,37158736
2,2883,凱基金,36636236
3,2887,台新新光金,21016862
4,2892,第一金,20474320
5,2881,富邦金,19630249
6,2886,兆豐金,19236875
7,2615,萬海,16238724
8,1402,遠東新,15090759
9,2344,華邦電,14921695
10,2002,中鋼,12902735
11,1314,中石化,12498827
12,2303,聯電,10887593
13,2618,長榮航,10833542
14,1216,統一,10010883
15,2882,國泰金,9521011
16,2610,華航,9407322
17,2451,創見,9145557
18,1102,亞泥,7648330
19,2603,長榮,7318656
20,5871,中租-KY,7260224
21,2426,鼎元,6272699
22,1326,台化,6120997
23,2408,南亞科,6032764
24,3045,台灣大,6002570
25,2880,華南金,5991567
26,2542,興富發,5902159
27,2330,台積電,5795046
28,2801,彰銀,5432622
29,5880,合庫金,5282997
30,2885,元大金,5116133
