排名,證券代號,證券名稱,外資買賣超股數
1,2610,華航,33754552
2,2449,京元電子,31582066
3,2303,聯電,27579714
4,2883,凱基金,23429454
5,2887,台新新光金,20638967
6,2801,彰銀,18509700
7,2834,臺企銀,17362206
8,2481,強茂,13979790
9,2812,台中銀,11991457
10,8150,南茂,11950464
11,8046,南電,11482025
12,5880,合庫金,11118599
13,2353,宏碁,11075304
14,2891,中信金,11035859
15,3711,日月光投控,10811189
16,2388,威盛,7388500
17,2006,東和鋼鐵,7164362
18,2426,鼎元,6989796
19,6005,群益證,6846903
20,2618,長榮航,6699185
21,2369,菱生,5916463
22,6168,宏齊,5130267
23,1319,東陽,4922040
24,1714,和桐,4858230
25,2356,英業達,4627938
26,2867,三商壽,4471620
27,2327,國巨*,4376875
28,2316,楠梓電,4239594
29,2646,星宇航空,3997400
30,2340,台亞,3957512
