排名,證券代號,證券名稱,外資買賣超股數
1,2892,第一金,-69439278
2,2303,聯電,-30346308
3,2887,台新新光金,-28739056
4,2890,永豐金,-21852748
5,8150,南茂,-17099724
6,2002,中鋼,-14672413
7,1303,南亞,-13197203
8,2880,華南金,-12352783
9,1216,統一,-12079389
10,2610,華航,-12052483
11,2884,玉山金,-11826161
12,2883,凱基金,-11435289
13,2355,敬鵬,-10262818
14,1101,台泥,-9598912
15,2618,長榮航,-9328112
16,3045,台灣大,-8443923
17,2515,中工,-7769316
18,2105,正新,-6935310
19,2801,彰銀,-6460892
20,1314,中石化,-6088000
21,9904,寶成,-6038334
22,2401,凌陽,-6000441
23,2412,中華電,-5978509
24,2886,兆豐金,-5398778
25,4960,誠美材,-5397000
26,5880,合庫金,-4898568
27,2834,臺企銀,-4891283
28,1102,亞泥,-4437353
29,4958,臻鼎-KY,-4206899
30,9945,潤泰新,-4196072
