排名,證券代號,證券名稱,外資買賣超股數
1,6770,力積電,-27468084
2,2887,台新新光金,-24385139
3,2883,凱基金,-20996314
4,2317,鴻海,-20086427
5,2344,華邦電,-18011340
6,2330,台積電,-14659332
7,2882,國泰金,-12248782
8,1605,華新,-11401758
9,2449,京元電子,-10360845
10,2353,宏碁,-9871405
11,2337,旺宏,-9391711
12,2301,光寶科,-9364113
13,2880,華南金,-9206765
14,2885,元大金,-9057205
15,2881,富邦金,-7699939
16,2892,第一金,-7287740
17,2834,臺企銀,-7105806
18,6005,群益證,-7070145
19,8112,至上,-6472847
20,2303,聯電,-5965155
21,2308,台達電,-5958854
22,2408,南亞科,-5574121
23,1504,東元,-5468375
24,9904,寶成,-5319532
25,2515,中工,-4924000
26,2890,永豐金,-4410111
27,1717,長興,-4229944
28,3037,欣興,-4058243
29,8131,福懋科,-3970253
30,1301,台塑,-3912900
