排名,證券代號,證券名稱,外資買賣超股數
1,2834,臺企銀,-23309037
2,2892,第一金,-21663786
3,2812,台中銀,-20938492
4,2883,凱基金,-19747940
5,2344,華邦電,-18757025
6,1718,中纖,-18214779
7,2886,兆豐金,-16130823
8,2887,台新新光金,-15939384
9,2880,華南金,-11103864
10,3231,緯創,-10142679
11,2409,友達,-9825471
12,6116,彩晶,-9817285
13,2882,國泰金,-8171795
14,5880,合庫金,-8161657
15,2885,元大金,-5344096
16,2458,義隆,-4997880
17,2801,彰銀,-4588609
18,2327,國巨*,-4366559
19,2845,遠東銀,-4183776
20,3711,日月光投控,-4046813
21,2330,台積電,-4011452
22,5871,中租-KY,-3954910
23,1605,華新,-3805181
24,2634,漢翔,-3754033
25,3036,文曄,-3709044
26,2492,華新科,-3682037
27,2332,友訊,-3512809
28,2609,陽明,-3449832
29,6005,群益證,-3402708
30,2353,宏碁,-3395185
