排名,證券代號,證券名稱,外資買賣超股數
1,2603,長榮,15066712
2,2634,漢翔,14816922
3,2609,陽明,14344696
4,2867,三商壽,13409530
5,2881,富邦金,10802898
6,8105,凌巨,10694721
7,3037,欣興,10676502
8,6505,台塑化,10209358
9,2886,兆豐金,10202794
10,2618,長榮航,10175743
11,2542,興富發,9866323
12,2301,光寶科,9583775
13,2801,彰銀,8235255
14,2337,旺宏,8135195
15,2812,台中銀,8051766
16,1402,遠東新,7937559
17,1314,中石化,7907429
18,2834,臺企銀,7698103
19,2324,仁寶,5994170
20,1216,統一,5570730
21,3605,宏致,4716828
22,8070,長華*,4589058
23,1718,中纖,4376200
24,4904,遠傳,3389203
25,8039,台虹,3273106
26,8422,可寧衛*,3009503
27,2646,星宇航空,2977605
28,3045,台灣大,2941517
29,2105,正新,2803338
30,5608,四維航,2722069
