排名,證券代號,證券名稱,外資買賣超股數
1,2885,元大金,23763184
2,2317,鴻海,22635286
3,2884,玉山金,22050561
4,2618,長榮航,19824202
5,2002,中鋼,19355221
6,2812,台中銀,18115924
7,2634,漢翔,14423408
8,2615,萬海,13922398
9,1402,遠東新,12926429
10,2609,陽明,12481902
11,2882,國泰金,12384602
12,3576,聯合再生,11742712
13,2356,英業達,11432087
14,3045,台灣大,10647424
15,2603,長榮,10551368
16,2324,仁寶,10348772
17,2353,宏碁,10215105
18,5880,合庫金,10027726
19,1314,中石化,8491941
20,2412,中華電,8347560
21,3231,緯創,8143909
22,5876,上海商銀,7655027
23,1101,台泥,7359585
24,2883,凱基金,7286913
25,2891,中信金,7090012
26,2610,華航,6223978
27,2312,金寶,6020978
28,2382,廣達,5936494
29,8112,至上,5777380
30,1810,和成,5735121
