排名,證券代號,證券名稱,外資買賣超股數
1,6770,力積電,-35766505
2,2409,友達,-32023397
3,3481,群創,-29691966
4,2887,台新新光金,-27653790
5,2883,凱基金,-27234113
6,2885,元大金,-21672909
7,2884,玉山金,-14426240
8,4958,臻鼎-KY,-8750877
9,2890,永豐金,-8148892
10,9105,泰金寶-DR,-8025000
11,2317,鴻海,-7859901
12,3231,緯創,-7514726
13,2481,強茂,-7305470
14,2610,華航,-7189855
15,3042,晶技,-6966019
16,2426,鼎元,-6960506
17,5880,合庫金,-6734185
18,2377,微星,-5228384
19,1802,台玻,-4873795
20,9904,寶成,-4243134
21,2371,大同,-4144372
22,2353,宏碁,-3571930
23,1101,台泥,-3567082
24,2356,英業達,-3470275
25,2436,偉詮電,-3401892
26,3706,神達,-3305388
27,2303,聯電,-3246457
28,2330,台積電,-3245118
29,2449,京元電子,-3195214
30,3702,大聯大,-3045902
