排名,證券代號,證券名稱,外資買賣超股數
1,2409,友達,-101829368
2,6770,力積電,-39064713
3,2344,華邦電,-31177692
4,3481,群創,-18794410
5,2002,中鋼,-14889089
6,6116,彩晶,-13982547
7,6505,台塑化,-13533826
8,1303,南亞,-13147321
9,2408,南亞科,-13102614
10,2324,仁寶,-11204022
11,8150,南茂,-10511849
12,1312,國喬,-9330761
13,2330,台積電,-8251130
14,3711,日月光投控,-8052251
15,3006,晶豪科,-6834131
16,2492,華新科,-6755248
17,1714,和桐,-6235806
18,6239,力成,-5891794
19,6226,光鼎,-5681091
20,2327,國巨*,-5586469
21,2481,強茂,-4940958
22,3706,神達,-4443432
23,1409,新纖,-4170000
24,2303,聯電,-3985101
25,6919,康霈*,-3835918
26,2317,鴻海,-3750910
27,2308,台達電,-3572586
28,2449,京元電子,-3501385
29,1101,台泥,-3141519
30,2634,漢翔,-2756372
